order_id,customer_name,product,quantity,unit_price,total_amount,order_date,delivery_date,status,supplier,region,priority
ORD-2023-0001,Midwest Manufacturing Corp,Steel Rods Grade A,500,12.50,6250.00,2023-01-05,2023-01-12,delivered,GlobalTech Supply,North,standard
ORD-2023-0002,Precision Dynamics LLC,CNC Spindle Bearings,200,45.00,9000.00,2023-01-08,2023-01-20,delivered,Apex Materials,Central,high
ORD-2023-0003,Great Lakes Automotive,Hydraulic Cylinders,75,320.00,24000.00,2023-01-10,2023-01-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0004,Summit Engineering Group,Copper Wire Spools 14AWG,1000,8.75,8750.00,2023-01-12,2023-01-19,delivered,Atlas Raw Materials,South,standard
ORD-2023-0005,Titan Industrial Solutions,PLC Controllers Model X,50,1250.00,62500.00,2023-01-15,2023-01-25,delivered,Zenith Components,West,high
ORD-2023-0006,Northwind Fabricators,Aluminum Sheets 6061-T6,300,22.00,6600.00,2023-01-18,2023-01-30,delayed,Apex Materials,North,standard
ORD-2023-0007,Cascade Precision Parts,Stainless Steel Fasteners,5000,0.85,4250.00,2023-01-20,2023-01-27,delivered,GlobalTech Supply,West,low
ORD-2023-0008,Heartland Motors Inc,Drive Shaft Assemblies,120,275.00,33000.00,2023-01-22,2023-02-05,delivered,PrimeSource Industrial,Central,high
ORD-2023-0009,Pacific Rim Electronics,Circuit Board Assemblies,400,55.00,22000.00,2023-01-25,2023-02-08,delayed,Apex Materials,West,high
ORD-2023-0010,Midwest Manufacturing Corp,Steel Rods Grade A,750,12.50,9375.00,2023-02-01,2023-02-08,delivered,GlobalTech Supply,North,standard
ORD-2023-0011,Delta Aerospace Components,Titanium Alloy Plates,50,485.00,24250.00,2023-02-03,2023-02-15,delivered,Atlas Raw Materials,East,critical
ORD-2023-0012,Precision Dynamics LLC,Linear Guide Rails,150,78.00,11700.00,2023-02-05,2023-02-20,delayed,Apex Materials,Central,high
ORD-2023-0013,Summit Engineering Group,Industrial Servo Motors,80,650.00,52000.00,2023-02-08,2023-02-18,delivered,Zenith Components,South,high
ORD-2023-0014,Great Lakes Automotive,Brake Rotor Castings,600,35.00,21000.00,2023-02-10,2023-02-17,delivered,PrimeSource Industrial,East,standard
ORD-2023-0015,Titan Industrial Solutions,Temperature Sensors PT100,1000,15.00,15000.00,2023-02-12,2023-02-22,delivered,Zenith Components,West,standard
ORD-2023-0016,Northwind Fabricators,Welding Wire ER70S-6,2000,3.50,7000.00,2023-02-15,2023-03-01,delayed,Apex Materials,North,standard
ORD-2023-0017,Cascade Precision Parts,Precision Ball Bearings,800,28.00,22400.00,2023-02-18,2023-02-25,delivered,GlobalTech Supply,West,high
ORD-2023-0018,Heartland Motors Inc,Transmission Gears Set,200,145.00,29000.00,2023-02-20,2023-03-05,delivered,PrimeSource Industrial,Central,high
ORD-2023-0019,Pacific Rim Electronics,Power Supply Units 24V,300,42.00,12600.00,2023-02-22,2023-03-08,delayed,Apex Materials,West,standard
ORD-2023-0020,Midwest Manufacturing Corp,Carbon Steel Plates,400,18.00,7200.00,2023-02-25,2023-03-04,delivered,GlobalTech Supply,North,standard
ORD-2023-0021,Delta Aerospace Components,Aerospace Grade Rivets,10000,1.20,12000.00,2023-03-01,2023-03-10,delivered,Atlas Raw Materials,East,high
ORD-2023-0022,Precision Dynamics LLC,CNC Spindle Bearings,300,45.00,13500.00,2023-03-03,2023-03-18,delayed,Apex Materials,Central,critical
ORD-2023-0023,Summit Engineering Group,Pneumatic Actuators,100,210.00,21000.00,2023-03-05,2023-03-15,delivered,PrimeSource Industrial,South,standard
ORD-2023-0024,Great Lakes Automotive,Exhaust Manifold Castings,150,95.00,14250.00,2023-03-08,2023-03-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0025,Titan Industrial Solutions,Industrial Touch Panels,40,890.00,35600.00,2023-03-10,2023-03-20,delivered,Zenith Components,West,high
ORD-2023-0026,Northwind Fabricators,Aluminum Sheets 6061-T6,500,22.00,11000.00,2023-03-12,2023-03-28,delayed,Apex Materials,North,high
ORD-2023-0027,Cascade Precision Parts,Dowel Pins Hardened,3000,0.65,1950.00,2023-03-15,2023-03-22,delivered,GlobalTech Supply,West,low
ORD-2023-0028,Heartland Motors Inc,Clutch Plate Assemblies,250,88.00,22000.00,2023-03-18,2023-03-28,delivered,PrimeSource Industrial,Central,standard
ORD-2023-0029,Pacific Rim Electronics,Microcontroller Units ARM,2000,8.50,17000.00,2023-03-20,2023-04-05,delayed,Apex Materials,West,high
ORD-2023-0030,Midwest Manufacturing Corp,Structural I-Beams,100,155.00,15500.00,2023-03-22,2023-03-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0031,Delta Aerospace Components,Inconel 718 Bar Stock,25,920.00,23000.00,2023-04-01,2023-04-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0032,Precision Dynamics LLC,Linear Guide Rails,200,78.00,15600.00,2023-04-03,2023-04-18,delayed,Apex Materials,Central,high
ORD-2023-0033,Summit Engineering Group,Variable Frequency Drives,60,780.00,46800.00,2023-04-05,2023-04-15,delivered,Zenith Components,South,high
ORD-2023-0034,Great Lakes Automotive,Wheel Hub Bearings,800,32.00,25600.00,2023-04-08,2023-04-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0035,Titan Industrial Solutions,Proximity Sensors,500,18.00,9000.00,2023-04-10,2023-04-20,delivered,Zenith Components,West,standard
ORD-2023-0036,Northwind Fabricators,Stainless Steel Tubing,1500,6.50,9750.00,2023-04-12,2023-04-28,delayed,Apex Materials,North,standard
ORD-2023-0037,Cascade Precision Parts,Carbide End Mills,200,35.00,7000.00,2023-04-15,2023-04-22,delivered,GlobalTech Supply,West,standard
ORD-2023-0038,Heartland Motors Inc,Camshaft Forgings,100,220.00,22000.00,2023-04-18,2023-04-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0039,Pacific Rim Electronics,Relay Modules 24V,1000,12.00,12000.00,2023-04-20,2023-05-05,delayed,Apex Materials,West,standard
ORD-2023-0040,Midwest Manufacturing Corp,Galvanized Steel Coils,200,45.00,9000.00,2023-04-22,2023-04-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0041,Delta Aerospace Components,Hastelloy C-276 Sheet,30,1100.00,33000.00,2023-05-01,2023-05-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0042,Precision Dynamics LLC,CNC Spindle Bearings,250,45.00,11250.00,2023-05-03,2023-05-20,delayed,Apex Materials,Central,critical
ORD-2023-0043,Summit Engineering Group,Stepper Motors NEMA 34,120,185.00,22200.00,2023-05-05,2023-05-15,delivered,Zenith Components,South,high
ORD-2023-0044,Great Lakes Automotive,Suspension Springs,1000,14.00,14000.00,2023-05-08,2023-05-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0045,Titan Industrial Solutions,Industrial Ethernet Switches,30,560.00,16800.00,2023-05-10,2023-05-20,delivered,Zenith Components,West,high
ORD-2023-0046,Northwind Fabricators,Aluminum Extrusions 6063,800,9.00,7200.00,2023-05-12,2023-05-28,delayed,Apex Materials,North,standard
ORD-2023-0047,Cascade Precision Parts,Tap and Die Sets,50,120.00,6000.00,2023-05-15,2023-05-22,delivered,GlobalTech Supply,West,low
ORD-2023-0048,Heartland Motors Inc,Crankshaft Forgings,80,340.00,27200.00,2023-05-18,2023-05-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0049,Pacific Rim Electronics,Capacitor Banks 100uF,5000,2.20,11000.00,2023-05-20,2023-06-05,delayed,Apex Materials,West,standard
ORD-2023-0050,Midwest Manufacturing Corp,Tool Steel D2 Bars,150,65.00,9750.00,2023-05-22,2023-05-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0051,Delta Aerospace Components,Titanium Alloy Plates,75,485.00,36375.00,2023-06-01,2023-06-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0052,Precision Dynamics LLC,Ball Screw Assemblies,100,165.00,16500.00,2023-06-03,2023-06-18,delayed,Apex Materials,Central,high
ORD-2023-0053,Summit Engineering Group,Programmable Logic Controllers,45,1350.00,60750.00,2023-06-05,2023-06-15,delivered,Zenith Components,South,critical
ORD-2023-0054,Great Lakes Automotive,Disc Brake Calipers,400,52.00,20800.00,2023-06-08,2023-06-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0055,Titan Industrial Solutions,Photoelectric Sensors,600,22.00,13200.00,2023-06-10,2023-06-20,delivered,Zenith Components,West,standard
ORD-2023-0056,Northwind Fabricators,Copper Pipe Type L,1200,5.80,6960.00,2023-06-12,2023-06-28,delayed,Apex Materials,North,standard
ORD-2023-0057,Cascade Precision Parts,Grinding Wheels CBN,100,85.00,8500.00,2023-06-15,2023-06-22,delivered,GlobalTech Supply,West,standard
ORD-2023-0058,Heartland Motors Inc,Flywheel Assemblies,150,195.00,29250.00,2023-06-18,2023-06-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0059,Pacific Rim Electronics,Circuit Board Assemblies,600,55.00,33000.00,2023-06-20,2023-07-08,delayed,Apex Materials,West,high
ORD-2023-0060,Midwest Manufacturing Corp,Steel Rods Grade A,1000,12.50,12500.00,2023-06-22,2023-06-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0061,Delta Aerospace Components,Monel 400 Round Bar,40,780.00,31200.00,2023-07-01,2023-07-12,delivered,Atlas Raw Materials,East,high
ORD-2023-0062,Precision Dynamics LLC,CNC Spindle Bearings,400,45.00,18000.00,2023-07-03,2023-07-20,delayed,Apex Materials,Central,critical
ORD-2023-0063,Summit Engineering Group,AC Servo Drives,70,920.00,64400.00,2023-07-05,2023-07-15,delivered,Zenith Components,South,high
ORD-2023-0064,Great Lakes Automotive,Control Arm Castings,350,42.00,14700.00,2023-07-08,2023-07-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0065,Titan Industrial Solutions,Safety Light Curtains,20,1450.00,29000.00,2023-07-10,2023-07-22,delivered,Zenith Components,West,high
ORD-2023-0066,Northwind Fabricators,Aluminum Sheets 6061-T6,600,22.00,13200.00,2023-07-12,2023-07-30,delayed,Apex Materials,North,high
ORD-2023-0067,Cascade Precision Parts,Precision Reamers HSS,150,28.00,4200.00,2023-07-15,2023-07-22,delivered,GlobalTech Supply,West,low
ORD-2023-0068,Heartland Motors Inc,Piston Ring Sets,500,18.00,9000.00,2023-07-18,2023-07-28,delivered,PrimeSource Industrial,Central,standard
ORD-2023-0069,Pacific Rim Electronics,Power Supply Units 24V,500,42.00,21000.00,2023-07-20,2023-08-05,delayed,Apex Materials,West,high
ORD-2023-0070,Midwest Manufacturing Corp,Angle Iron Structural,800,7.50,6000.00,2023-07-22,2023-07-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0071,Delta Aerospace Components,Waspaloy Forgings,15,2200.00,33000.00,2023-08-01,2023-08-14,delivered,Atlas Raw Materials,East,critical
ORD-2023-0072,Precision Dynamics LLC,Linear Guide Rails,300,78.00,23400.00,2023-08-03,2023-08-22,delayed,Apex Materials,Central,high
ORD-2023-0073,Summit Engineering Group,Encoder Rotary Absolute,90,340.00,30600.00,2023-08-05,2023-08-15,delivered,Zenith Components,South,high
ORD-2023-0074,Great Lakes Automotive,Steering Knuckle Forgings,200,68.00,13600.00,2023-08-08,2023-08-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0075,Titan Industrial Solutions,HMI Operator Panels,25,1100.00,27500.00,2023-08-10,2023-08-22,delivered,Zenith Components,West,high
ORD-2023-0076,Northwind Fabricators,Stainless Steel Tubing,2000,6.50,13000.00,2023-08-12,2023-08-30,delayed,Apex Materials,North,standard
ORD-2023-0077,Cascade Precision Parts,Thread Gauges Go/NoGo,75,95.00,7125.00,2023-08-15,2023-08-22,delivered,GlobalTech Supply,West,standard
ORD-2023-0078,Heartland Motors Inc,Differential Gear Sets,180,155.00,27900.00,2023-08-18,2023-08-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0079,Pacific Rim Electronics,Microcontroller Units ARM,3000,8.50,25500.00,2023-08-20,2023-09-05,delayed,Apex Materials,West,critical
ORD-2023-0080,Midwest Manufacturing Corp,Carbon Steel Plates,500,18.00,9000.00,2023-08-22,2023-08-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0081,Delta Aerospace Components,Inconel 718 Bar Stock,35,920.00,32200.00,2023-09-01,2023-09-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0082,Precision Dynamics LLC,CNC Spindle Bearings,350,45.00,15750.00,2023-09-03,2023-09-20,delayed,Apex Materials,Central,critical
ORD-2023-0083,Summit Engineering Group,Industrial Servo Motors,100,650.00,65000.00,2023-09-05,2023-09-15,delivered,Zenith Components,South,high
ORD-2023-0084,Great Lakes Automotive,Brake Rotor Castings,700,35.00,24500.00,2023-09-08,2023-09-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0085,Titan Industrial Solutions,Pressure Transducers,400,38.00,15200.00,2023-09-10,2023-09-20,delivered,Zenith Components,West,standard
ORD-2023-0086,Northwind Fabricators,Welding Wire ER70S-6,3000,3.50,10500.00,2023-09-12,2023-09-28,delayed,Apex Materials,North,standard
ORD-2023-0087,Cascade Precision Parts,Precision Ball Bearings,1000,28.00,28000.00,2023-09-15,2023-09-22,delivered,GlobalTech Supply,West,high
ORD-2023-0088,Heartland Motors Inc,Valve Body Castings,300,72.00,21600.00,2023-09-18,2023-09-28,delivered,PrimeSource Industrial,Central,standard
ORD-2023-0089,Pacific Rim Electronics,Relay Modules 24V,1500,12.00,18000.00,2023-09-20,2023-10-08,delayed,Apex Materials,West,standard
ORD-2023-0090,Midwest Manufacturing Corp,Steel Rods Grade A,800,12.50,10000.00,2023-09-22,2023-09-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0091,Delta Aerospace Components,Titanium Alloy Plates,60,485.00,29100.00,2023-10-01,2023-10-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0092,Precision Dynamics LLC,Ball Screw Assemblies,150,165.00,24750.00,2023-10-03,2023-10-20,delayed,Apex Materials,Central,high
ORD-2023-0093,Summit Engineering Group,Stepper Motors NEMA 34,150,185.00,27750.00,2023-10-05,2023-10-15,delivered,Zenith Components,South,standard
ORD-2023-0094,Great Lakes Automotive,Suspension Springs,1200,14.00,16800.00,2023-10-08,2023-10-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0095,Titan Industrial Solutions,Vision Inspection Cameras,15,2800.00,42000.00,2023-10-10,2023-10-22,delivered,Zenith Components,West,critical
ORD-2023-0096,Northwind Fabricators,Aluminum Extrusions 6063,1000,9.00,9000.00,2023-10-12,2023-10-30,delayed,Apex Materials,North,standard
ORD-2023-0097,Cascade Precision Parts,Carbide Inserts CNMG,500,8.50,4250.00,2023-10-15,2023-10-22,delivered,GlobalTech Supply,West,standard
